node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EDN1	EDNRB	4445200	4444853	9606.ENSP00000368683	9606.ENSP00000366416	0	0	0	0	0	0.951	0.900	0.964	0.999
RPL32	RPL36A	4448829	4448320	9606.ENSP00000416429	9606.ENSP00000404375	0	0	0	0	0.775	0.956	0.900	0.393	0.999
YAP1	TEAD4	4451342	4442300	9606.ENSP00000478927	9606.ENSP00000352926	0	0	0	0	0.176	0.959	0.900	0.873	0.999
SLIT2	ROBO1	4449223	4449112	9606.ENSP00000422591	9606.ENSP00000420321	0	0	0	0	0.116	0.963	0.900	0.917	0.999
CASP8	CASP10	4442125	4436662	9606.ENSP00000351273	9606.ENSP00000286186	0	0	0	0.838	0.088	0.993	0.900	0.844	0.999
KIT	KITLG	4436763	4433405	9606.ENSP00000288135	9606.ENSP00000228280	0	0	0	0	0.062	0.900	0.900	0.964	0.999
IL33	IL1RL1	4445550	4433610	9606.ENSP00000370842	9606.ENSP00000233954	0	0	0	0	0.069	0.900	0.900	0.933	0.999
C1QC	C1QB	4444427	4438900	9606.ENSP00000363770	9606.ENSP00000313967	0	0	0.426	0.927	0.989	0.454	0.900	0.893	0.999
SYT1	SNAP25	4434836	4434401	9606.ENSP00000261205	9606.ENSP00000254976	0	0	0	0	0.440	0.974	0.900	0.905	0.999
TIMM10	TIMM13	4434536	4432862	9606.ENSP00000257245	9606.ENSP00000215570	0	0	0	0	0.889	0.976	0.720	0.919	0.999
EDN1	EDNRA	4445200	4438963	9606.ENSP00000368683	9606.ENSP00000315011	0	0	0	0	0	0.707	0.900	0.974	0.999
ACTN2	ACTN1	4450086	4446270	9606.ENSP00000443495	9606.ENSP00000377941	0	0	0	0.981	0	0.982	0.900	0.643	0.998
CPLX1	SNAP25	4438141	4434401	9606.ENSP00000305613	9606.ENSP00000254976	0	0	0	0	0.408	0.873	0.900	0.834	0.998
CCK	CCKBR	4446515	4440681	9606.ENSP00000379472	9606.ENSP00000335544	0	0	0	0	0.181	0.667	0.900	0.958	0.998
FGFR2	FGF2	4448546	4435443	9606.ENSP00000410294	9606.ENSP00000264498	0	0	0	0	0	0.863	0.900	0.885	0.998
CPLX1	SYT1	4438141	4434836	9606.ENSP00000305613	9606.ENSP00000261205	0	0	0	0	0.493	0.775	0.900	0.851	0.998
YAP1	TEAD2	4451342	4451017	9606.ENSP00000478927	9606.ENSP00000472109	0	0	0	0	0.282	0.877	0.900	0.794	0.997
FOS	EGR1	4438204	4433758	9606.ENSP00000306245	9606.ENSP00000239938	0	0	0	0	0.961	0.073	0	0.913	0.996
HSPA1A	DNAJB1	4444600	4434353	9606.ENSP00000364802	9606.ENSP00000254322	0.043	0	0.427	0	0.325	0.478	0.900	0.848	0.996
KAT5	EPC1	4441035	4435186	9606.ENSP00000340330	9606.ENSP00000263062	0	0	0	0	0.112	0.922	0.900	0.573	0.996
AKAP5	PRKAR2B	4446311	4435635	9606.ENSP00000378207	9606.ENSP00000265717	0	0	0	0	0.049	0.880	0.900	0.733	0.996
SNAI2	CDH1	4446599	4434944	9606.ENSP00000380034	9606.ENSP00000261769	0	0	0	0	0	0	0.900	0.968	0.996
KIF2C	CENPF	4443901	4442771	9606.ENSP00000361298	9606.ENSP00000355922	0	0	0	0	0.884	0	0.900	0.630	0.995
CXCL12	ACKR3	4446453	4436051	9606.ENSP00000379140	9606.ENSP00000272928	0	0	0	0	0.069	0.162	0.900	0.943	0.995
HHIP	DHH	4437307	4435735	9606.ENSP00000296575	9606.ENSP00000266991	0	0	0	0	0	0.875	0.900	0.689	0.995
HBB	HBA2	4440511	4434183	9606.ENSP00000333994	9606.ENSP00000251595	0	0	0	0.900	0.570	0.965	0.720	0.906	0.995
ISG15	STAT1	4445204	4442456	9606.ENSP00000368699	9606.ENSP00000354394	0	0	0	0	0.783	0.099	0.900	0.771	0.994
FLNA	PAK1	4443409	4436295	9606.ENSP00000358866	9606.ENSP00000278568	0	0	0	0	0.061	0.455	0.900	0.901	0.994
GAD2	SLC32A1	4444701	4433019	9606.ENSP00000365437	9606.ENSP00000217420	0	0	0	0	0.574	0	0.900	0.871	0.994
FGFR3	FGF2	4440994	4435443	9606.ENSP00000339824	9606.ENSP00000264498	0	0	0	0	0	0.794	0.900	0.695	0.993
NSF	YKT6	4446795	4433283	9606.ENSP00000381293	9606.ENSP00000223369	0	0	0	0	0.129	0.268	0.900	0.907	0.993
EPHB6	EFNB3	4451629	4433353	9606.ENSP00000481994	9606.ENSP00000226091	0	0	0	0	0.188	0.313	0.900	0.889	0.993
EPHA5	EFNB3	4451522	4433353	9606.ENSP00000480763	9606.ENSP00000226091	0	0	0	0	0.236	0.313	0.900	0.885	0.993
RPH3A	SNAP25	4445848	4434401	9606.ENSP00000374036	9606.ENSP00000254976	0	0	0	0	0.245	0.960	0	0.793	0.993
FGFR2	FGF9	4448546	4445677	9606.ENSP00000410294	9606.ENSP00000371790	0	0	0	0	0.063	0.751	0.900	0.735	0.993
FDXR	FDX1L	4448831	4446178	9606.ENSP00000416515	9606.ENSP00000377311	0	0	0	0	0.063	0.731	0.900	0.785	0.993
KIF2C	BIRC5	4443901	4437778	9606.ENSP00000361298	9606.ENSP00000301633	0	0	0	0	0.872	0	0.900	0.447	0.992
FGF9	FGFR3	4445677	4440994	9606.ENSP00000371790	9606.ENSP00000339824	0	0	0	0	0.063	0.725	0.900	0.733	0.992
CHGB	SCG2	4445138	4438023	9606.ENSP00000368244	9606.ENSP00000304133	0	0	0	0	0.296	0	0.900	0.898	0.992
IFI27	ISG15	4451772	4445204	9606.ENSP00000483430	9606.ENSP00000368699	0	0	0	0	0.776	0	0.900	0.707	0.992
STX4	SNAP25	4439148	4434401	9606.ENSP00000317714	9606.ENSP00000254976	0	0	0	0	0.079	0.571	0.900	0.837	0.992
CD44	SPP1	4448037	4446370	9606.ENSP00000398632	9606.ENSP00000378517	0	0	0	0	0.062	0.379	0.900	0.892	0.992
GABRG2	GABRA1	4448565	4447776	9606.ENSP00000410732	9606.ENSP00000393097	0	0	0	0.906	0.546	0.809	0.900	0.866	0.991
HSPA6	DNAJB1	4438569	4434353	9606.ENSP00000310219	9606.ENSP00000254322	0.043	0	0.425	0	0.296	0.476	0.900	0.662	0.991
NPY	SST	4447109	4436733	9606.ENSP00000384364	9606.ENSP00000287641	0	0	0	0	0.176	0	0.900	0.905	0.991
DUSP1	MAPK14	4433734	4433482	9606.ENSP00000239223	9606.ENSP00000229795	0	0	0	0	0	0.636	0.900	0.791	0.991
SRC	CDH1	4444215	4434944	9606.ENSP00000362680	9606.ENSP00000261769	0	0	0	0	0	0.388	0.900	0.858	0.990
HSPB1	MAPK14	4434059	4433482	9606.ENSP00000248553	9606.ENSP00000229795	0	0	0	0	0	0.432	0.900	0.846	0.990
CENPF	BIRC5	4442771	4437778	9606.ENSP00000355922	9606.ENSP00000301633	0	0	0	0	0.809	0	0.900	0.548	0.990
NSF	SNAP25	4446795	4434401	9606.ENSP00000381293	9606.ENSP00000254976	0	0	0	0	0.260	0.810	0	0.934	0.990
HBE1	HBA2	4445353	4434183	9606.ENSP00000369586	9606.ENSP00000251595	0	0	0	0.876	0.151	0.958	0.720	0.684	0.990
GABRG2	GABRB2	4448565	4436144	9606.ENSP00000410732	9606.ENSP00000274547	0	0	0	0.813	0.426	0.809	0.900	0.807	0.989
CASP8	TNFRSF1A	4442125	4432688	9606.ENSP00000351273	9606.ENSP00000162749	0	0	0	0	0.062	0.480	0.900	0.815	0.989
SLC25A13	TIMM13	4448105	4432862	9606.ENSP00000400101	9606.ENSP00000215570	0	0	0	0	0	0	0.900	0.903	0.989
ITGB2	ICAM1	4446737	4435501	9606.ENSP00000380948	9606.ENSP00000264832	0	0	0	0	0.113	0.379	0.900	0.829	0.989
IGFBP1	IGFBP4	4436188	4435901	9606.ENSP00000275525	9606.ENSP00000269593	0	0	0	0.813	0.098	0.870	0.900	0.859	0.989
NTNG1	LRRC4C	4443452	4436275	9606.ENSP00000359085	9606.ENSP00000278198	0	0	0	0	0.097	0.472	0.800	0.890	0.988
KCNIP4	KCND2	4445656	4440459	9606.ENSP00000371587	9606.ENSP00000333496	0	0	0	0	0.160	0.591	0.900	0.711	0.988
GABRA1	GABRB2	4447776	4436144	9606.ENSP00000393097	9606.ENSP00000274547	0	0	0	0.843	0.348	0.809	0.900	0.818	0.988
LPL	ANGPTL4	4438536	4437761	9606.ENSP00000309757	9606.ENSP00000301455	0	0	0	0	0.062	0.379	0.900	0.815	0.987
DYSF	ANXA1	4447438	4444796	9606.ENSP00000386881	9606.ENSP00000366109	0	0	0	0	0.063	0.472	0.900	0.755	0.986
ISG15	XAF1	4445204	4442548	9606.ENSP00000368699	9606.ENSP00000354822	0	0	0	0	0.774	0	0.900	0.443	0.986
GABRG2	GABRA5	4448565	4440689	9606.ENSP00000410732	9606.ENSP00000335592	0	0	0	0.898	0.334	0.799	0.900	0.684	0.986
HSPA1A	DNAJB6	4444600	4435022	9606.ENSP00000364802	9606.ENSP00000262177	0.043	0	0.348	0	0.141	0.476	0.900	0.567	0.985
FGFR2	FGF6	4448546	4433431	9606.ENSP00000410294	9606.ENSP00000228837	0	0	0	0	0	0.525	0.900	0.722	0.985
CCK	NTS	4446515	4434454	9606.ENSP00000379472	9606.ENSP00000256010	0	0	0	0	0.062	0	0.900	0.860	0.985
TEAD2	TEAD4	4451017	4442300	9606.ENSP00000472109	9606.ENSP00000352926	0	0	0	0.962	0.140	0.825	0.900	0.757	0.984
RIMS1	SNAP25	4449449	4434401	9606.ENSP00000428417	9606.ENSP00000254976	0	0	0	0	0.314	0.379	0.900	0.681	0.984
PACSIN1	DNM1	4451827	4444057	9606.ENSP00000484060	9606.ENSP00000362014	0	0	0	0	0.159	0.474	0.900	0.682	0.984
GABRG2	GABRA6	4448565	4436143	9606.ENSP00000410732	9606.ENSP00000274545	0	0	0	0.916	0.434	0.730	0.900	0.765	0.984
FOS	FOSB	4438204	4433953	9606.ENSP00000306245	9606.ENSP00000245919	0	0	0	0.866	0.899	0.139	0.800	0.947	0.983
RAPGEF4	ABCC8	4446635	4438006	9606.ENSP00000380271	9606.ENSP00000303960	0	0	0	0	0.183	0.379	0.900	0.711	0.983
HSPA1B	DNAJB1	4444599	4434353	9606.ENSP00000364801	9606.ENSP00000254322	0.043	0	0.427	0	0.328	0.194	0.900	0.529	0.982
CXCL12	CCR4	4446453	4440381	9606.ENSP00000379140	9606.ENSP00000332659	0	0	0	0	0	0.457	0.900	0.705	0.982
HSPA1A	HSPA6	4444600	4438569	9606.ENSP00000364802	9606.ENSP00000310219	0	0	0.449	0.982	0.116	0.812	0.900	0.713	0.982
STAT1	MAPK14	4442456	4433482	9606.ENSP00000354394	9606.ENSP00000229795	0	0	0	0	0.060	0.406	0.900	0.718	0.982
ACKR1	CXCL8	4443040	4438229	9606.ENSP00000357103	9606.ENSP00000306512	0	0	0	0	0	0.379	0.900	0.720	0.981
GABRG2	GABRA4	4448565	4435414	9606.ENSP00000410732	9606.ENSP00000264318	0	0	0	0.883	0.308	0.730	0.900	0.698	0.981
SDC1	FGF2	4445506	4435443	9606.ENSP00000370542	9606.ENSP00000264498	0	0	0	0	0	0.305	0.900	0.755	0.981
HSPH1	DNAJB1	4439219	4434353	9606.ENSP00000318687	9606.ENSP00000254322	0.043	0	0.345	0	0.266	0.851	0	0.766	0.981
HSPA1A	BAG3	4444600	4443254	9606.ENSP00000364802	9606.ENSP00000358081	0	0	0	0	0.134	0.557	0.900	0.571	0.981
HSPA1A	HSPA1B	4444600	4444599	9606.ENSP00000364802	9606.ENSP00000364801	0	0	0.449	0.988	0.139	0.800	0.900	0.539	0.981
LPL	APOE	4438536	4434227	9606.ENSP00000309757	9606.ENSP00000252486	0	0	0	0	0.098	0	0.900	0.797	0.980
STAT1	KIT	4442456	4436763	9606.ENSP00000354394	9606.ENSP00000288135	0	0	0	0	0	0.540	0.900	0.618	0.980
HAND2	MEF2C	4442266	4441087	9606.ENSP00000352565	9606.ENSP00000340874	0	0	0	0	0	0	0.900	0.814	0.980
GABRG2	GABRB1	4448565	4437154	9606.ENSP00000410732	9606.ENSP00000295454	0	0	0	0.842	0.196	0.741	0.900	0.757	0.980
LDLRAP1	LRP2	4444372	4435321	9606.ENSP00000363458	9606.ENSP00000263816	0	0	0	0	0	0.521	0.900	0.622	0.980
SRC	EZR	4444215	4442801	9606.ENSP00000362680	9606.ENSP00000356042	0	0	0	0	0	0.063	0.900	0.806	0.980
GABRA5	GABRB2	4440689	4436144	9606.ENSP00000335592	9606.ENSP00000274547	0	0	0	0.833	0.231	0.743	0.900	0.703	0.980
CXCL8	CCL2	4438229	4433339	9606.ENSP00000306512	9606.ENSP00000225831	0	0	0	0	0.278	0.667	0	0.925	0.980
SDC4	FGF2	4444011	4435443	9606.ENSP00000361818	9606.ENSP00000264498	0	0	0	0	0	0.305	0.900	0.730	0.979
HSPA1A	HSPB1	4444600	4434059	9606.ENSP00000364802	9606.ENSP00000248553	0	0	0	0	0.092	0.127	0.900	0.771	0.979
NLK	MYB	4447146	4441013	9606.ENSP00000384625	9606.ENSP00000339992	0	0	0	0	0	0.447	0.900	0.666	0.979
GABRA5	GABRB1	4440689	4437154	9606.ENSP00000335592	9606.ENSP00000295454	0	0	0	0.844	0.159	0.732	0.900	0.722	0.978
GABRA2	GABRG2	4449188	4448565	9606.ENSP00000421828	9606.ENSP00000410732	0	0	0	0.901	0.222	0.730	0.900	0.725	0.978
HSPA6	DNAJB6	4438569	4435022	9606.ENSP00000310219	9606.ENSP00000262177	0.043	0	0.349	0	0.141	0.476	0.900	0.387	0.978
FOS	MAPK14	4438204	4433482	9606.ENSP00000306245	9606.ENSP00000229795	0	0	0	0	0	0.264	0.900	0.733	0.978
STX4	YKT6	4439148	4433283	9606.ENSP00000317714	9606.ENSP00000223369	0	0	0	0	0.071	0.289	0.900	0.711	0.978
IGFALS	IGFBP3	4448841	4445494	9606.ENSP00000416683	9606.ENSP00000370473	0	0	0	0	0.061	0.379	0.900	0.679	0.978
GABRA1	GABRB1	4447776	4437154	9606.ENSP00000393097	9606.ENSP00000295454	0	0	0	0.845	0.158	0.732	0.900	0.789	0.978
DNM1	SYT1	4444057	4434836	9606.ENSP00000362014	9606.ENSP00000261205	0	0	0	0	0.194	0	0.900	0.745	0.977
GABRB2	GABRA6	4436144	4436143	9606.ENSP00000274547	9606.ENSP00000274545	0	0	0	0.832	0.458	0.544	0.900	0.783	0.976
PENK	OPRD1	4439673	4433642	9606.ENSP00000324248	9606.ENSP00000234961	0	0	0	0	0.083	0	0.900	0.768	0.976
SYT1	SLC32A1	4434836	4433019	9606.ENSP00000261205	9606.ENSP00000217420	0	0	0	0	0.373	0	0.900	0.660	0.976
MEF2C	MAPK14	4441087	4433482	9606.ENSP00000340874	9606.ENSP00000229795	0	0	0	0	0.064	0.521	0.900	0.531	0.976
ADAMTS9	B3GALTL	4448984	4441300	9606.ENSP00000418735	9606.ENSP00000343002	0	0	0	0	0	0	0.900	0.765	0.975
C4B	MASP1	4448805	4437260	9606.ENSP00000415941	9606.ENSP00000296280	0	0	0	0	0.082	0.300	0.900	0.669	0.975
HSPA1B	BAG3	4444599	4443254	9606.ENSP00000364801	9606.ENSP00000358081	0	0	0	0	0.134	0.542	0.900	0.424	0.974
DNAJB4	HSPH1	4443614	4439219	9606.ENSP00000359799	9606.ENSP00000318687	0.043	0	0.397	0	0.198	0.885	0	0.590	0.974
CXCL8	MAPK14	4438229	4433482	9606.ENSP00000306512	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.757	0.974
